gameID,Home_HOME,Home_Rolling_FG,Home_Rolling_FGA,Home_Rolling_FG%,Home_Rolling_3P,Home_Rolling_3PA,Home_Rolling_3P%,Home_Rolling_FT,Home_Rolling_FTA,Home_Rolling_FT%,Home_Rolling_ORB,Home_Rolling_DRB,Home_Rolling_TRB,Home_Rolling_AST,Home_Rolling_STL,Home_Rolling_BLK,Home_Rolling_TOV,Home_Rolling_PF,Home_Rolling_PTS,Home_Rolling_TS%,Home_Rolling_eFG%,Home_Rolling_3PAr,Home_Rolling_FTr,Home_Rolling_ORB%,Home_Rolling_DRB%,Home_Rolling_TRB%,Home_Rolling_AST%,Home_Rolling_STL%,Home_Rolling_BLK%,Home_Rolling_TOV%,Home_Rolling_USG%,Home_Rolling_ORtg,Home_Rolling_DRtg,Home_Rolling_Wins,Away_HOME,Away_Rolling_FG,Away_Rolling_FGA,Away_Rolling_FG%,Away_Rolling_3P,Away_Rolling_3PA,Away_Rolling_3P%,Away_Rolling_FT,Away_Rolling_FTA,Away_Rolling_FT%,Away_Rolling_ORB,Away_Rolling_DRB,Away_Rolling_TRB,Away_Rolling_AST,Away_Rolling_STL,Away_Rolling_BLK,Away_Rolling_TOV,Away_Rolling_PF,Away_Rolling_PTS,Away_Rolling_TS%,Away_Rolling_eFG%,Away_Rolling_3PAr,Away_Rolling_FTr,Away_Rolling_ORB%,Away_Rolling_DRB%,Away_Rolling_TRB%,Away_Rolling_AST%,Away_Rolling_STL%,Away_Rolling_BLK%,Away_Rolling_TOV%,Away_Rolling_USG%,Away_Rolling_ORtg,Away_Rolling_DRtg,Away_Rolling_Wins,Home_Score,Away_Score,spread,total
202111090UTA,1.0,39.3,86.9,0.4543,13.5,42.5,0.3178,19.6,24.1,0.8177,11.0,37.7,48.7,19.9,7.7,5.5,15.4,19.1,111.7,0.5749,0.5323,0.4899,0.2797,25.33,80.14,54.03,50.49,7.81,9.57,13.46,100.0,113.42,104.22,7.0,0.0,40.2,90.6,0.4453,10.7,31.2,0.3378,16.7,20.5,0.7975,12.1,34.5,46.6,21.9,6.7,3.0,13.2,17.8,107.8,0.543,0.5049,0.347,0.2301,25.24,79.95,52.04,54.71,6.82,6.08,11.66,100.0,109.39,115.58,3.0,110,98,-11.5,208.5
202111120DEN,1.0,39.6,86.9,0.4563,9.8,34.5,0.2894,12.0,16.2,0.7373,9.3,34.6,43.9,23.5,8.5,4.7,14.9,18.8,101.0,0.5374,0.5125,0.3968,0.1867,20.83,80.62,50.39,59.34,8.74,9.44,13.61,100.0,104.27,101.67,6.0,0.0,40.1,89.2,0.4504,11.5,31.3,0.3598,16.4,20.0,0.7975,11.0,33.4,44.4,22.1,6.8,3.2,13.6,17.3,108.1,0.5528,0.5156,0.3539,0.2267,23.79,80.05,51.25,55.4,6.94,6.75,12.14,100.0,109.94,116.79,3.0,105,96,-10.5,203.5
202111140ATL,1.0,39.3,89.5,0.4402,10.8,30.9,0.3402,16.1,20.0,0.7832,11.4,33.1,44.5,21.7,5.9,3.4,12.8,17.4,105.5,0.5382,0.5013,0.3484,0.226,23.57,80.08,50.54,55.44,6.06,7.14,11.48,100.0,108.01,117.61,2.0,0.0,39.5,90.8,0.4355,14.7,41.5,0.3522,13.0,17.5,0.7401,11.1,34.9,46.0,21.9,7.8,4.3,13.7,17.6,106.7,0.5423,0.5171,0.4572,0.1959,23.49,76.24,49.47,55.42,7.85,8.47,12.19,100.0,107.99,107.83,4.0,120,100,-14.5,224.5
202111150ATL,1.0,40.0,89.6,0.447,11.5,31.4,0.3564,15.8,19.6,0.7854,10.8,33.3,44.1,21.7,6.1,3.1,13.0,17.9,107.3,0.5473,0.5117,0.3532,0.2217,23.48,81.17,51.28,54.66,6.25,6.67,11.64,100.0,109.54,117.38,2.0,0.0,36.3,86.9,0.418,12.6,38.2,0.3337,13.3,17.8,0.7457,9.8,33.8,43.6,21.1,6.6,5.5,16.4,19.5,98.5,0.521,0.4911,0.4416,0.2059,21.57,76.54,48.45,58.45,6.68,10.3,14.76,100.0,100.4,108.4,2.0,129,111,-13.5,228.5
202111170ATL,1.0,39.9,89.3,0.4478,12.3,32.3,0.3745,17.0,21.4,0.7867,11.1,33.3,44.4,22.3,6.7,3.5,12.8,18.0,109.1,0.5535,0.5172,0.3646,0.2434,24.45,81.47,52.0,56.05,6.84,7.56,11.43,100.0,111.28,116.25,3.0,0.0,38.7,87.7,0.4409,10.0,31.9,0.3071,16.3,20.5,0.7929,10.3,34.8,45.1,20.7,7.6,5.2,13.8,17.5,103.7,0.5373,0.4993,0.3685,0.2364,22.65,78.36,50.02,54.17,7.8,10.64,12.59,100.0,106.18,102.87,5.0,110,99,-9.5,214.5
202111200ATL,1.0,40.4,87.9,0.4605,12.8,33.8,0.3732,17.1,21.3,0.7963,9.7,33.8,43.5,22.7,7.0,3.8,12.3,18.0,110.7,0.5699,0.5337,0.3871,0.2456,22.27,80.33,51.18,56.21,7.19,8.28,11.24,100.0,113.5,114.44,4.0,0.0,41.1,92.9,0.4444,12.1,35.6,0.3397,14.4,19.5,0.7147,10.9,35.4,46.3,25.5,9.5,5.3,14.6,19.7,108.7,0.5368,0.5098,0.3838,0.2126,21.58,75.11,47.72,61.88,9.23,9.91,12.54,100.0,105.6,109.09,5.0,115,105,-10.5,211.5
202111220ATL,1.0,40.9,87.8,0.4671,12.7,33.8,0.3703,15.9,20.5,0.7773,9.2,34.2,43.4,22.7,6.7,3.9,12.4,18.5,110.4,0.5713,0.5399,0.3876,0.2363,21.22,78.59,50.26,55.47,6.86,8.19,11.37,100.0,112.97,113.61,4.0,0.0,36.8,90.9,0.4049,12.7,39.9,0.3188,13.1,18.1,0.7242,12.0,39.5,51.5,20.1,7.0,4.7,14.5,18.2,99.4,0.503,0.4751,0.4406,0.2001,24.34,78.93,51.62,55.21,7.08,9.38,12.82,100.0,100.92,103.6,5.0,113,101,-17.5,213.5
202111240SAS,1.0,42.6,90.5,0.4712,9.6,27.0,0.3454,11.8,16.9,0.6983,8.3,34.1,42.4,27.8,8.5,5.3,13.4,15.8,106.6,0.5442,0.5245,0.2998,0.1888,18.28,76.32,47.22,65.58,8.42,10.43,12.03,100.0,105.84,111.22,2.0,0.0,41.0,87.1,0.4718,12.8,33.7,0.3744,16.1,20.6,0.7844,8.8,33.8,42.6,22.9,6.5,4.1,11.8,18.5,110.9,0.5777,0.5457,0.3895,0.2387,20.57,77.0,49.41,55.81,6.71,8.21,10.93,100.0,114.4,112.86,5.0,106,124,3.5,223.0
202111260MEM,1.0,41.7,93.3,0.4472,9.9,31.7,0.3144,16.5,21.6,0.7603,13.3,33.1,46.4,24.5,9.0,5.9,12.5,19.2,109.8,0.5355,0.5004,0.3398,0.2368,28.21,76.74,51.24,58.98,8.93,11.14,10.78,100.0,110.07,117.98,4.0,0.0,42.0,87.7,0.4802,13.3,33.5,0.3956,16.2,20.4,0.7953,9.1,34.7,43.8,23.7,6.4,4.2,12.0,17.2,113.5,0.5882,0.5567,0.3849,0.2343,21.57,76.35,50.31,56.45,6.59,7.96,11.05,100.0,116.85,111.62,6.0,100,132,1.0,226.5
202111270ATL,1.0,43.0,86.9,0.4953,13.3,32.9,0.4043,15.7,20.2,0.7797,8.6,35.1,43.7,25.2,6.9,4.6,12.0,17.1,115.0,0.6008,0.5724,0.3812,0.2342,21.39,75.57,50.64,58.51,7.1,8.68,11.13,100.0,118.68,109.85,7.0,0.0,36.4,86.2,0.4231,13.0,36.7,0.3516,15.2,19.4,0.7638,10.1,35.0,45.1,20.6,6.6,6.3,14.6,19.7,101.0,0.5343,0.4989,0.4265,0.2273,21.56,76.53,48.99,56.53,6.76,12.43,13.28,100.0,104.35,108.65,4.0,90,99,-8.0,217.0
