Team,gameID,WIN,HOME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
BRK,202110190MIL,0,0,37,84,.440,17,32,.531,13,23,.565,5,39,44,19,3,9,13,17,104,.552,.542,.381,.274,10.9,75.0,44.9,51.4,2.9,15.0,12.1,100.0,101.1,123.5
MIL,202110190MIL,1,1,48,105,.457,17,45,.378,14,18,.778,13,41,54,25,8,9,8,19,127,.562,.538,.429,.171,25.0,89.1,55.1,52.1,7.8,17.3,6.6,100.0,123.5,101.1
GSW,202110190LAL,1,0,41,93,.441,14,39,.359,25,30,.833,9,41,50,30,9,2,17,18,121,.570,.516,.419,.323,18.4,89.1,52.6,73.2,7.9,3.8,13.8,100.0,106.8,100.6
LAL,202110190LAL,0,1,45,95,.474,15,42,.357,9,19,.474,5,40,45,21,7,4,18,25,114,.551,.553,.442,.200,10.9,81.6,47.4,46.7,6.2,7.4,14.8,100.0,100.6,106.8
IND,202110200CHO,0,0,42,90,.467,17,47,.362,21,24,.875,8,43,51,29,2,10,17,24,122,.607,.561,.522,.267,19.0,78.2,52.6,69.0,1.8,13.2,14.5,100.0,111.7,112.6
CHO,202110200CHO,1,1,46,107,.430,13,31,.419,18,27,.667,12,34,46,29,9,5,8,21,123,.517,.491,.290,.252,21.8,81.0,47.4,63.0,8.2,11.6,6.3,100.0,112.6,111.7
CHI,202110200DET,1,0,37,86,.430,7,23,.304,13,15,.867,9,39,48,18,8,5,17,19,94,.508,.471,.267,.174,20.0,78.0,50.5,48.6,8.1,8.1,15.5,100.0,94.9,88.9
DET,202110200DET,0,1,36,90,.400,6,28,.214,10,13,.769,11,36,47,17,7,5,17,16,88,.460,.433,.311,.144,22.0,80.0,49.5,47.2,7.1,7.9,15.1,100.0,88.9,94.9
BOS,202110200NYK,0,0,48,117,.410,21,57,.368,17,23,.739,15,41,56,34,13,9,18,24,134,.527,.500,.487,.197,23.8,85.4,50.5,70.8,10.3,15.0,12.4,100.0,105.9,109.1
NYK,202110200NYK,1,1,51,105,.486,17,45,.378,19,27,.704,7,48,55,27,9,10,19,22,138,.590,.567,.429,.257,14.6,76.2,49.5,52.9,7.1,16.7,14.0,100.0,109.1,105.9
WAS,202110200TOR,1,0,36,81,.444,5,27,.185,21,26,.808,7,44,51,20,14,8,22,17,98,.530,.475,.333,.321,16.7,69.8,48.6,55.6,13.4,12.7,19.2,100.0,94.0,79.6
TOR,202110200TOR,0,1,30,97,.309,7,34,.206,16,22,.727,19,35,54,14,10,4,19,21,83,.389,.345,.351,.227,30.2,83.3,51.4,46.7,9.6,7.4,15.1,100.0,79.6,94.0
CLE,202110200MEM,0,0,47,93,.505,14,38,.368,13,18,.722,7,29,36,38,6,5,11,17,121,.599,.581,.409,.194,14.9,69.0,40.4,80.9,5.9,7.5,9.8,100.0,118.0,128.7
MEM,202110200MEM,1,1,53,100,.530,14,33,.424,12,12,1.000,13,40,53,28,8,8,12,15,132,.627,.600,.330,.120,31.0,85.1,59.6,52.8,7.8,14.5,10.2,100.0,128.7,118.0
HOU,202110200MIN,0,0,40,88,.455,11,33,.333,15,22,.682,12,29,41,21,13,3,24,25,106,.543,.517,.375,.250,26.7,69.0,47.1,52.5,12.4,6.1,19.7,100.0,101.1,118.3
MIN,202110200MIN,1,1,42,87,.483,16,38,.421,24,31,.774,13,33,46,26,18,12,18,22,124,.616,.575,.437,.356,31.0,73.3,52.9,61.9,17.2,21.8,15.2,100.0,118.3,101.1
PHI,202110200NOP,1,0,44,85,.518,13,25,.520,16,20,.800,6,41,47,24,9,5,13,11,117,.624,.594,.294,.235,15.0,80.4,51.6,54.5,9.1,7.9,12.2,100.0,117.8,97.6
NOP,202110200NOP,0,1,39,93,.419,13,30,.433,6,9,.667,10,34,44,28,5,6,14,16,97,.500,.489,.323,.097,19.6,85.0,48.4,71.8,5.0,10.0,12.6,100.0,97.6,117.8
ORL,202110200SAS,0,0,35,86,.407,9,29,.310,18,23,.783,13,31,44,17,6,6,16,20,97,.505,.459,.337,.267,30.2,70.5,50.6,48.6,6.2,8.8,14.3,100.0,100.8,127.9
SAS,202110200SAS,1,1,49,98,.500,13,30,.433,12,18,.667,13,30,43,32,8,3,8,22,123,.581,.566,.306,.184,29.5,69.8,49.4,65.3,8.3,5.3,7.0,100.0,127.9,100.8
OKC,202110200UTA,0,0,34,91,.374,7,35,.200,11,18,.611,15,35,50,19,4,2,15,15,86,.435,.412,.385,.198,26.8,74.5,48.5,55.9,4.2,4.5,13.2,100.0,90.6,112.7
UTA,202110200UTA,1,1,40,91,.440,14,47,.298,13,15,.867,12,41,53,18,6,5,10,19,107,.548,.516,.516,.165,25.5,73.2,51.5,45.0,6.3,8.9,9.3,100.0,112.7,90.6
SAC,202110200POR,1,0,42,92,.457,17,41,.415,23,29,.793,7,36,43,24,6,4,10,22,124,.592,.549,.446,.315,14.9,80.0,46.7,57.1,5.7,6.9,8.7,100.0,118.0,115.2
POR,202110200POR,0,1,45,93,.484,12,35,.343,19,22,.864,9,40,49,25,5,5,13,22,121,.589,.548,.376,.237,20.0,85.1,53.3,55.6,4.8,9.8,11.2,100.0,115.2,118.0
DEN,202110200PHO,1,0,44,83,.530,17,39,.436,5,9,.556,6,40,46,25,9,1,19,20,110,.632,.633,.470,.108,15.0,78.4,50.5,56.8,9.0,2.0,17.9,100.0,110.3,98.3
PHO,202110200PHO,0,1,36,87,.414,14,37,.378,12,17,.706,11,34,45,23,9,3,18,18,98,.519,.494,.425,.195,21.6,85.0,49.5,63.9,9.0,6.8,16.0,100.0,98.3,110.3
DAL,202110210ATL,0,0,31,93,.333,13,43,.302,12,13,.923,10,40,50,16,7,3,15,21,87,.441,.403,.462,.140,16.9,87.0,47.6,51.6,6.8,5.1,13.2,100.0,84.6,109.9
ATL,202110210ATL,1,1,45,94,.479,15,35,.429,8,9,.889,6,49,55,31,8,9,13,16,113,.577,.559,.372,.096,13.0,83.1,52.4,68.9,7.8,18.0,11.7,100.0,109.9,84.6
MIL,202110210MIA,0,0,32,84,.381,12,42,.286,19,29,.655,5,33,38,19,6,0,15,26,95,.491,.452,.500,.345,9.6,75.0,39.6,59.4,5.6,0.0,13.4,100.0,89.4,128.9
MIA,202110210MIA,1,1,51,96,.531,15,35,.429,20,31,.645,11,47,58,28,8,2,11,26,137,.625,.609,.365,.323,25.0,90.4,60.4,54.9,7.5,4.8,9.1,100.0,128.9,89.4
LAC,202110210GSW,0,0,42,96,.438,14,40,.350,15,21,.714,8,31,39,24,9,2,7,25,113,.537,.510,.417,.219,15.7,75.6,42.4,57.1,8.8,3.8,6.2,100.0,110.4,112.4
GSW,202110210GSW,1,1,43,83,.518,15,31,.484,14,22,.636,10,43,53,27,5,4,21,20,115,.620,.608,.373,.265,24.4,84.3,57.6,62.8,4.9,7.1,18.5,100.0,112.4,110.4
NYK,202110220ORL,1,0,44,88,.500,24,54,.444,9,17,.529,6,32,38,34,10,4,11,19,121,.634,.636,.614,.193,14.0,78.0,45.2,77.3,10.2,10.0,10.3,100.0,123.8,98.2
ORL,202110220ORL,0,1,33,83,.398,17,43,.395,13,15,.867,9,37,46,24,5,3,19,18,96,.536,.500,.518,.181,22.0,86.0,54.8,72.7,5.1,8.8,17.5,100.0,98.2,123.8
IND,202110220WAS,0,0,52,97,.536,15,34,.441,15,20,.750,7,35,42,28,5,6,12,22,134,.633,.613,.351,.206,17.9,85.4,52.5,53.8,4.7,10.7,10.2,100.0,126.5,127.4
WAS,202110220WAS,1,1,49,94,.521,19,38,.500,18,19,.947,6,32,38,24,5,6,9,21,135,.659,.622,.404,.202,14.6,82.1,47.5,49.0,4.7,9.5,8.1,100.0,127.4,126.5
CHO,202110220CLE,1,0,48,91,.527,13,32,.406,14,17,.824,11,35,46,32,13,1,18,16,123,.624,.599,.352,.187,27.5,83.3,56.1,66.7,12.6,1.9,15.5,100.0,118.9,108.3
CLE,202110220CLE,0,1,43,84,.512,9,31,.290,17,20,.850,7,29,36,26,9,3,19,15,112,.603,.565,.369,.238,16.7,72.5,43.9,60.5,8.7,5.1,17.0,100.0,108.3,118.9
TOR,202110220BOS,1,0,42,100,.420,10,35,.286,21,21,1.000,21,39,60,22,16,2,12,13,115,.526,.470,.350,.210,39.6,79.6,58.8,52.4,16.3,4.2,9.9,100.0,117.2,84.6
BOS,202110220BOS,0,1,32,82,.390,11,34,.324,8,11,.727,10,32,42,19,6,12,25,19,83,.478,.457,.415,.134,20.4,60.4,41.2,59.4,6.1,18.5,22.4,100.0,84.6,117.2
BRK,202110220PHI,1,0,41,88,.466,12,38,.316,20,24,.833,11,36,47,26,6,6,13,16,114,.578,.534,.432,.273,26.8,87.8,57.3,63.4,6.1,10.9,11.7,100.0,116.2,111.1
PHI,202110220PHI,0,1,43,91,.473,14,36,.389,9,11,.818,5,30,35,17,8,9,10,21,109,.569,.549,.396,.121,12.2,73.2,42.7,39.5,8.2,18.0,9.4,100.0,111.1,116.2
OKC,202110220HOU,0,0,34,91,.374,14,43,.326,9,16,.563,8,31,39,22,9,4,19,21,91,.464,.451,.473,.176,15.4,75.6,41.9,64.7,8.5,7.0,16.2,100.0,85.7,116.8
HOU,202110220HOU,1,1,48,95,.505,17,38,.447,11,14,.786,10,44,54,29,12,10,17,18,124,.613,.595,.400,.147,24.4,84.6,58.1,60.4,11.3,20.8,14.4,100.0,116.8,85.7
NOP,202110220CHI,0,0,42,87,.483,15,29,.517,13,16,.813,9,33,42,26,7,5,17,20,112,.595,.569,.333,.184,20.5,75.0,47.7,61.9,6.9,8.2,15.3,100.0,110.7,126.5
CHI,202110220CHI,1,1,47,89,.528,14,28,.500,20,25,.800,11,35,46,32,9,7,14,14,128,.640,.607,.315,.281,25.0,79.5,52.3,68.1,8.9,12.1,12.3,100.0,126.5,110.7
SAS,202110220DEN,0,0,40,84,.476,6,24,.250,10,14,.714,7,32,39,24,11,2,20,17,96,.532,.512,.286,.167,17.5,80.0,48.8,60.0,10.9,3.6,18.2,100.0,94.8,100.7
DEN,202110220DEN,1,1,44,86,.512,9,30,.300,5,8,.625,8,33,41,26,10,2,21,21,102,.570,.564,.349,.093,20.0,82.5,51.3,59.1,9.9,3.3,19.0,100.0,100.7,94.8
PHO,202110220LAL,1,0,42,86,.488,10,32,.313,21,28,.750,7,40,47,31,8,2,12,22,115,.585,.547,.372,.326,17.1,76.9,50.5,73.8,7.9,3.8,10.9,100.0,113.9,104.0
LAL,202110220LAL,0,1,34,86,.395,15,34,.441,22,29,.759,12,34,46,25,7,3,16,26,105,.532,.483,.395,.337,23.1,82.9,49.5,73.5,6.9,5.6,13.9,100.0,104.0,113.9
UTA,202110220SAC,1,0,37,90,.411,16,42,.381,20,23,.870,13,38,51,16,14,3,19,17,110,.549,.500,.467,.256,26.5,70.4,49.5,43.2,13.6,4.8,16.0,100.0,106.5,97.8
SAC,202110220SAC,0,1,39,99,.394,8,36,.222,15,21,.714,16,36,52,20,15,5,15,22,101,.467,.434,.364,.212,29.6,73.5,50.5,51.3,14.5,10.4,12.2,100.0,97.8,106.5
ATL,202110230CLE,0,0,38,99,.384,10,34,.294,9,15,.600,17,37,54,20,5,3,9,23,95,.450,.434,.343,.152,28.8,75.5,50.0,52.6,5.2,4.9,7.9,100.0,99.3,105.6
CLE,202110230CLE,1,1,37,89,.416,7,28,.250,20,27,.741,12,42,54,23,6,6,10,16,101,.501,.455,.315,.303,24.5,71.2,50.0,62.2,6.3,9.2,9.0,100.0,105.6,99.3
MIA,202110230IND,0,0,35,91,.385,9,33,.273,12,14,.857,10,45,55,18,4,2,22,25,91,.468,.434,.363,.154,19.6,76.3,50.0,51.4,3.8,3.4,18.5,100.0,85.3,95.7
IND,202110230IND,1,1,38,97,.392,10,39,.256,16,21,.762,14,41,55,18,10,5,16,18,102,.480,.443,.402,.216,23.7,80.4,50.0,47.4,9.4,8.6,13.1,100.0,95.7,85.3
DAL,202110230TOR,1,0,38,91,.418,14,42,.333,13,18,.722,13,37,50,24,6,6,9,22,103,.521,.495,.462,.198,25.5,77.1,50.5,63.2,6.4,12.5,8.3,100.0,110.5,101.9
TOR,202110230TOR,0,1,34,85,.400,11,37,.297,16,23,.696,11,38,49,17,7,6,12,23,95,.499,.465,.435,.271,22.9,74.5,49.5,50.0,7.5,12.2,11.2,100.0,101.9,110.5
DET,202110230CHI,0,0,34,88,.386,5,28,.179,9,15,.600,11,42,53,14,9,8,23,17,82,.433,.415,.318,.170,22.0,93.3,55.8,41.2,8.8,13.8,19.6,100.0,79.8,94.5
CHI,202110230CHI,1,1,35,84,.417,11,26,.423,16,19,.842,3,39,42,24,13,11,13,17,97,.525,.482,.310,.226,6.7,78.0,44.2,68.6,12.7,18.3,12.3,100.0,94.5,79.8
