Team,gameID,WIN,HOME,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LAL,202310240DEN,0,0,41,90,.456,10,29,.345,15,20,.750,13,31,44,23,5,4,12,18,107,.541,.511,.322,.222,28.3,77.5,51.2,56.1,5.2,7.0,10.8,100.0,111.1,123.6
DEN,202310240DEN,1,1,48,91,.527,14,34,.412,9,12,.750,9,33,42,29,9,6,12,15,119,.618,.604,.374,.132,22.5,71.7,48.8,60.4,9.3,9.8,11.1,100.0,123.6,111.1
PHO,202310240GSW,1,0,42,95,.442,11,33,.333,13,17,.765,17,43,60,23,5,7,19,22,108,.527,.500,.347,.179,35.4,70.5,55.0,54.8,4.9,12.1,15.6,100.0,106.2,102.3
GSW,202310240GSW,0,1,36,101,.356,10,43,.233,22,28,.786,18,31,49,19,11,6,11,23,104,.459,.406,.426,.277,29.5,64.6,45.0,52.8,10.8,9.7,8.8,100.0,102.3,106.2
HOU,202310250ORL,0,0,32,79,.405,12,34,.353,10,16,.625,7,24,31,19,6,3,19,24,86,.500,.481,.430,.203,14.9,58.5,35.2,59.4,6.3,5.7,18.1,100.0,90.4,121.9
ORL,202310250ORL,1,1,42,87,.483,9,34,.265,23,26,.885,17,40,57,19,8,6,16,20,116,.589,.534,.391,.299,41.5,85.1,64.8,45.2,8.4,13.3,14.0,100.0,121.9,90.4
BOS,202310250NYK,1,0,37,77,.481,12,39,.308,22,26,.846,7,39,46,18,6,11,13,22,108,.611,.558,.506,.338,18.9,69.6,49.5,48.6,6.3,19.6,12.8,100.0,113.2,109.0
NYK,202310250NYK,0,1,36,97,.371,18,41,.439,14,26,.538,17,30,47,24,9,0,11,22,104,.480,.464,.423,.268,30.4,81.1,50.5,66.7,9.4,0.0,9.2,100.0,109.0,113.2
WAS,202310250IND,0,0,44,96,.458,9,24,.375,23,29,.793,11,34,45,28,6,9,14,11,120,.552,.505,.250,.302,21.2,77.3,46.9,63.6,5.4,14.1,11.4,100.0,108.5,129.3
IND,202310250IND,1,1,56,107,.523,20,43,.465,11,12,.917,10,41,51,38,10,8,12,23,143,.637,.617,.402,.112,22.7,78.8,53.1,67.9,9.0,11.1,9.7,100.0,129.3,108.5
ATL,202310250CHO,0,0,39,93,.419,5,29,.172,27,33,.818,12,30,42,24,12,1,12,19,110,.512,.446,.312,.355,23.5,71.4,45.2,61.5,11.6,2.0,10.0,100.0,106.4,112.2
CHO,202310250CHO,1,1,43,86,.500,11,37,.297,19,26,.731,12,39,51,34,5,3,19,21,116,.595,.564,.430,.302,28.6,76.5,54.8,79.1,4.8,4.7,16.3,100.0,112.2,106.4
DET,202310250MIA,0,0,41,92,.446,11,32,.344,9,15,.600,17,39,56,28,3,13,17,23,102,.517,.505,.348,.163,34.7,70.9,53.8,68.3,3.2,18.6,14.7,100.0,108.3,109.4
MIA,202310250MIA,1,1,37,92,.402,8,22,.364,21,26,.808,16,32,48,22,11,3,7,18,103,.498,.446,.239,.283,29.1,65.3,46.2,59.5,11.7,5.0,6.3,100.0,109.4,108.3
MIN,202310250TOR,0,0,34,100,.340,8,31,.258,18,22,.818,16,46,62,20,8,9,14,14,94,.429,.380,.310,.220,29.1,85.2,56.9,58.8,7.8,16.4,11.3,100.0,92.1,95.1
TOR,202310250TOR,1,1,36,90,.400,14,35,.400,11,16,.688,8,39,47,27,9,11,14,18,97,.500,.478,.389,.178,14.8,70.9,43.1,75.0,8.8,15.9,12.6,100.0,95.1,92.1
CLE,202310250BRK,1,0,44,94,.468,17,43,.395,9,10,.900,9,29,38,25,10,6,10,23,114,.579,.559,.457,.106,19.6,69.0,43.2,56.8,10.2,10.5,9.2,100.0,116.3,115.3
BRK,202310250BRK,0,1,42,84,.500,9,27,.333,20,26,.769,13,37,50,30,6,6,18,16,113,.592,.554,.321,.310,31.0,80.4,56.8,71.4,6.1,11.8,15.9,100.0,115.3,116.3
NOP,202310250MEM,1,0,40,85,.471,14,32,.438,17,22,.773,11,41,52,22,8,5,21,21,111,.586,.553,.376,.259,27.5,83.7,58.4,55.0,7.8,10.4,18.2,100.0,108.7,101.8
MEM,202310250MEM,0,1,38,91,.418,12,43,.279,16,20,.800,8,29,37,23,8,7,13,19,104,.521,.484,.473,.220,16.3,72.5,41.6,60.5,7.8,13.2,11.5,100.0,101.8,108.7
OKC,202310250CHI,1,0,45,82,.549,19,39,.487,15,18,.833,5,38,43,30,6,4,16,19,124,.690,.665,.476,.220,14.7,74.5,50.6,66.7,6.0,7.7,15.1,100.0,124.9,104.7
