gameID,Home_Predicted_Score,Home_Actual_Score,Away_Predicted_Score,Away_Actual_Score,spread,total,Predicted_Winner,Actual_Winner,Predicted_Spread,Actual_Spread,Predicted_Total,Actual_Total
202311200SAS,112.18,99,115.73,124,8.5,230.5,away,away,3.549999999999997,25,227.91000000000003,223
202401240MIL,110.75,126,117.85,116,-6.5,238.0,away,home,7.099999999999994,-10,228.6,242
202404140SAS,114.36,123,107.3,95,-4.5,221.5,home,home,-7.060000000000002,-28,221.66,218
202403290WAS,110.29,87,112.81,96,-3.5,230.0,away,away,2.519999999999996,9,223.10000000000002,183
202312160DEN,119.51,117,117.38,118,-5.0,237.5,home,away,-2.1300000000000097,1,236.89,235
202311240IND,124.73,136,113.39,113,-9.5,247.0,home,home,-11.340000000000003,-23,238.12,249
202203140OKC,117.14,116,117.08,134,12.0,229.5,home,away,-0.060000000000002274,18,234.22,250
202112040POR,107.58,117,105.06,145,-1.0,212.0,home,away,-2.519999999999996,28,212.64,262
202304090MIA,111.96,123,109.74,110,-5.5,217.5,home,home,-2.219999999999999,-13,221.7,233
202303070ORL,111.73,123,112.97,134,2.5,227.5,away,away,1.2399999999999949,11,224.7,257
202302030SAS,113.45,125,122.97,137,10.5,234.0,away,away,9.519999999999996,12,236.42000000000002,262
202201150BOS,109.5,114,106.24,112,-8.0,214.5,home,home,-3.260000000000005,-2,215.74,226
202204070MIL,116.2,127,118.15,121,-8.5,227.5,away,home,1.9500000000000028,-6,234.35000000000002,248
202112080LAC,105.04,114,108.33,111,1.0,209.0,away,home,3.289999999999992,-3,213.37,225
202201030CHI,112.84,102,106.52,98,-13.0,217.5,home,home,-6.320000000000007,-4,219.36,200
202312150SAS,113.86,129,119.41,115,4.0,235.5,away,home,5.549999999999997,-14,233.26999999999998,244
202312230TOR,117.79,119,115.65,126,-5.5,232.5,home,away,-2.1400000000000006,7,233.44,245
202212160TOR,110.14,116,108.99,119,1.0,223.5,home,away,-1.1500000000000057,3,219.13,235
202312220PHI,120.13,121,112.06,111,-8.0,230.5,home,home,-8.069999999999993,-10,232.19,232
202203180PHI,108.29,111,108.65,101,-4.5,217.0,away,home,0.35999999999999943,-10,216.94,212
202312280NOP,121.2,112,115.81,105,-9.0,239.5,home,home,-5.390000000000001,-7,237.01,217
202403160NOP,114.2,126,106.66,107,-13.0,215.5,home,home,-7.540000000000006,-19,220.86,233
202201290NOP,107.0,97,108.68,107,6.5,212.5,away,away,1.6800000000000068,10,215.68,204
202212230LAL,115.37,130,115.65,134,-3.0,242.5,away,away,0.28000000000000114,4,231.02,264
202401010NYK,111.41,112,111.73,106,1.0,222.0,away,home,0.3200000000000074,-6,223.14,218
202303170ATL,119.12,127,121.14,119,3.5,250.5,away,home,2.019999999999996,-8,240.26,246
202401140MIL,124.16,143,117.68,142,-4.0,246.5,home,home,-6.47999999999999,-1,241.84,285
202112150POR,103.06,103,114.26,113,-2.5,218.5,away,away,11.200000000000003,10,217.32,216
202201260CLE,108.02,115,104.37,99,4.5,216.5,home,home,-3.6499999999999915,-16,212.39,214
202203110ATL,111.48,112,111.54,106,-7.5,225.5,away,home,0.060000000000002274,-6,223.02,218
202203260MIA,113.64,95,108.03,110,2.5,231.0,home,away,-5.609999999999999,15,221.67000000000002,205
