GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT
0022300061,1610612747,Lakers,LAL,Los Angeles,240:00,16.87,28,48,73,358,1,1,240,23,19,44,0.432,22,46,0.478,0.456,22,34,0.647
0022300061,1610612743,Nuggets,DEN,Denver,240:00,17.07,24,65,86,403,2,3,278,29,23,40,0.575,25,51,0.49,0.527,24,36,0.667
0022300062,1610612756,Suns,PHX,Phoenix,240:00,18.18,31,79,109,380,3,2,250,23,21,43,0.488,21,52,0.404,0.442,20,38,0.526
0022300062,1610612744,Warriors,GSW,Golden State,240:00,18.62,38,57,95,419,3,2,286,19,17,45,0.378,19,56,0.339,0.356,18,27,0.667
0022300063,1610612737,Hawks,ATL,Atlanta,240:00,18.93,36,49,84,416,3,3,289,24,23,46,0.5,16,46,0.348,0.419,17,25,0.68
0022300063,1610612766,Hornets,CHA,Charlotte,240:00,19.55,27,77,102,458,3,2,328,34,21,28,0.75,22,58,0.379,0.5,21,36,0.583
0022300064,1610612764,Wizards,WAS,Washington,240:00,19.59,28,63,86,393,2,4,262,28,20,43,0.465,23,50,0.46,0.458,22,35,0.629
0022300064,1610612754,Pacers,IND,Indiana,240:00,19.99,31,54,81,423,4,3,295,38,28,46,0.609,25,58,0.431,0.523,25,42,0.595
0022300074,1610612757,Trail Blazers,POR,Portland,240:00,18.65,31,41,68,381,1,1,249,20,20,34,0.588,24,59,0.407,0.473,25,32,0.781
0022300074,1610612746,Clippers,LAC,LA,240:00,18.22,26,55,79,424,2,1,296,36,18,34,0.529,29,56,0.518,0.522,19,30,0.633
0022300066,1610612745,Rockets,HOU,Houston,240:00,17.9,23,40,62,394,4,2,276,19,15,33,0.455,16,45,0.356,0.405,21,28,0.75
0022300066,1610612753,Magic,ORL,Orlando,240:00,18.51,24,64,86,378,0,4,256,19,25,38,0.658,17,48,0.354,0.483,13,27,0.481
0022300073,1610612742,Mavericks,DAL,Dallas,240:00,19.08,37,50,84,371,4,2,242,24,25,39,0.641,22,60,0.367,0.475,17,25,0.68
0022300073,1610612759,Spurs,SAS,San Antonio,240:00,19.42,19,65,82,414,2,2,288,33,19,37,0.514,27,52,0.519,0.517,22,27,0.815
0022300071,1610612740,Pelicans,NOP,New Orleans,240:00,19.07,31,58,87,415,2,4,284,22,20,41,0.488,20,44,0.455,0.471,13,19,0.684
0022300071,1610612763,Grizzlies,MEM,Memphis,240:00,18.99,16,56,72,414,2,1,286,23,20,35,0.571,18,56,0.321,0.418,16,32,0.5
0022300070,1610612760,Thunder,OKC,Oklahoma City,240:00,18.84,13,74,87,356,2,2,239,30,15,28,0.536,30,54,0.556,0.549,15,23,0.652
0022300070,1610612741,Bulls,CHI,Chicago,240:00,18.58,29,43,71,425,3,0,300,26,19,39,0.487,20,55,0.364,0.415,15,23,0.652
0022300069,1610612750,Timberwolves,MIN,Minnesota,240:00,19.18,43,72,110,387,2,5,257,20,20,51,0.392,14,49,0.286,0.34,17,33,0.515
0022300069,1610612761,Raptors,TOR,Toronto,240:00,18.82,24,83,105,451,6,3,329,27,13,34,0.382,23,56,0.411,0.4,15,30,0.5
0052300121,1610612747,Lakers,LAL,Los Angeles,240:00,17.06,16,51,66,408,4,5,291,24,9,22,0.409,26,62,0.419,0.417,24,33,0.727
0052300121,1610612740,Pelicans,NOP,New Orleans,240:00,18.2,18,59,77,398,3,2,278,30,20,42,0.476,23,51,0.451,0.462,14,25,0.56
0052300131,1610612744,Warriors,GSW,Golden State,240:00,18.01,16,74,89,396,2,5,280,19,15,33,0.455,18,47,0.383,0.413,14,26,0.538
0052300131,1610612758,Kings,SAC,Sacramento,240:00,18.22,37,52,88,407,5,1,282,28,16,35,0.457,27,63,0.429,0.439,16,29,0.552
0052300111,1610612737,Hawks,ATL,Atlanta,240:00,17.75,24,43,67,375,1,4,253,30,20,34,0.588,21,57,0.368,0.451,26,33,0.788
0052300111,1610612741,Bulls,CHI,Chicago,240:00,17.7,24,58,79,390,5,0,268,27,24,38,0.632,30,57,0.526,0.568,12,18,0.667
0052300101,1610612748,Heat,MIA,Miami,240:00,18.22,32,51,80,392,3,2,269,23,19,43,0.442,19,47,0.404,0.422,18,32,0.563
0052300101,1610612755,76ers,PHI,Philadelphia,240:00,17.52,27,59,84,490,3,3,364,23,14,31,0.452,22,55,0.4,0.419,14,24,0.583
0052300211,1610612758,Kings,SAC,Sacramento,240:00,18.2,34,44,77,388,3,3,267,21,14,22,0.636,22,66,0.333,0.409,24,31,0.774
0052300211,1610612740,Pelicans,NOP,New Orleans,240:00,17.94,25,63,86,422,6,2,304,29,19,37,0.514,25,48,0.521,0.518,17,22,0.773
0052300201,1610612741,Bulls,CHI,Chicago,240:00,17.61,21,48,68,428,9,1,312,27,11,31,0.355,24,61,0.393,0.38,11,19,0.579
0052300201,1610612748,Heat,MIA,Miami,240:00,18.83,15,66,81,394,5,3,280,26,8,26,0.308,30,56,0.536,0.463,12,22,0.545
0042300131,1610612753,Magic,ORL,Orlando,240:00,17.82,29,60,87,375,1,2,259,16,16,32,0.5,12,54,0.222,0.326,15,25,0.6
0042300131,1610612739,Cavaliers,CLE,Cleveland,240:00,17.65,30,68,93,386,1,1,264,21,16,36,0.444,20,45,0.444,0.444,15,23,0.652
0042300161,1610612756,Suns,PHX,Phoenix,240:00,17.48,15,46,60,380,2,1,266,16,13,25,0.52,20,50,0.4,0.44,16,21,0.762
0042300161,1610612750,Timberwolves,MIN,Minnesota,240:00,18.4,32,52,80,401,4,3,280,26,13,32,0.406,31,56,0.554,0.5,10,22,0.455
0042300111,1610612755,76ers,PHI,Philadelphia,240:00,17.04,25,64,88,362,4,3,252,17,14,27,0.519,22,54,0.407,0.444,14,20,0.7
0042300111,1610612752,Knicks,NYK,New York,240:00,17.4,41,51,90,397,2,2,267,20,16,39,0.41,20,52,0.385,0.396,18,25,0.72
0042300151,1610612747,Lakers,LAL,Los Angeles,240:00,16.19,12,53,64,373,3,3,263,22,15,34,0.441,24,45,0.533,0.494,22,32,0.688
0042300151,1610612743,Nuggets,DEN,Denver,240:00,16.75,31,55,85,386,1,0,263,27,23,37,0.622,24,65,0.369,0.461,17,26,0.654
0042300121,1610612754,Pacers,IND,Indiana,240:00,18.28,20,54,74,415,3,1,296,20,7,16,0.438,29,75,0.387,0.396,14,19,0.737
0042300121,1610612749,Bucks,MIL,Milwaukee,240:00,17.49,17,75,87,387,6,2,274,21,11,22,0.5,30,65,0.462,0.471,13,18,0.722
0042300101,1610612748,Heat,MIA,Miami,240:00,18.15,17,52,68,385,4,1,285,23,11,20,0.55,27,61,0.443,0.469,5,12,0.417
0042300101,1610612738,Celtics,BOS,Boston,240:00,16.79,25,50,75,391,4,1,277,27,10,22,0.455,29,60,0.483,0.476,10,16,0.625
0042300171,1610612742,Mavericks,DAL,Dallas,240:00,16.93,22,61,81,329,4,3,220,14,9,23,0.391,22,57,0.386,0.388,13,28,0.464
0042300171,1610612746,Clippers,LAC,LA,240:00,16.73,29,52,80,367,5,1,250,21,15,40,0.375,25,47,0.532,0.46,9,17,0.529
0042300141,1610612740,Pelicans,NOP,New Orleans,240:00,17.73,35,43,78,439,3,2,313,22,15,37,0.405,22,59,0.373,0.385,12,25,0.48
0042300141,1610612760,Thunder,OKC,Oklahoma City,240:00,17.86,18,56,73,331,3,0,222,21,10,28,0.357,27,57,0.474,0.435,12,23,0.522
0042300152,1610612747,Lakers,LAL,Los Angeles,240:00,16.55,15,54,68,356,3,2,251,24,10,27,0.37,28,51,0.549,0.487,16,23,0.696
0042300152,1610612743,Nuggets,DEN,Denver,240:00,16.73,25,46,68,404,7,2,284,26,15,28,0.536,24,60,0.4,0.443,7,20,0.35
0042300112,1610612755,76ers,PHI,Philadelphia,240:00,17.34,25,65,88,366,3,3,254,26,10,25,0.4,26,59,0.441,0.429,8,13,0.615
0042300112,1610612752,Knicks,NYK,New York,240:00,17.67,26,62,84,386,3,0,265,22,11,35,0.314,26,56,0.464,0.407,8,21,0.381
